,3731,0
0,20.599601723359182,20.599601723359182
1,20.481281187116913,20.481281187116913
2,20.65115872015578,20.65115872015578
3,20.572776729270124,20.572776729270124
4,20.531125489613995,20.531125489613995
5,20.622487339546733,20.622487339546733
6,20.955085098198975,20.955085098198975
7,20.483637478096263,20.483637478096263
8,20.769792614777945,20.769792614777945
9,20.437704627199317,20.437704627199317
10,20.61937739820199,20.61937739820199
11,20.740032713990537,20.740032713990537
12,20.678309639998925,20.678309639998925
13,20.820194627415944,20.820194627415944
14,20.673928401986075,20.673928401986075
15,20.79771529131519,20.79771529131519
16,20.592922496114056,20.592922496114056
17,20.734775012873104,20.734775012873104
18,20.685063807607147,20.685063807607147
19,20.726353156588353,20.726353156588353
20,21.109821416776928,21.109821416776928
21,20.827512059047073,20.827512059047073
22,21.331514780275935,21.331514780275935
23,20.431127231583776,20.431127231583776
24,20.44971960154195,20.44971960154195
25,20.87703173279722,20.87703173279722
26,20.34790465334112,20.34790465334112
27,20.799942300713926,20.799942300713926
28,20.344828253573827,20.344828253573827
29,20.912680177885704,20.912680177885704
